family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:48808	10	5	1	2	['ncbitaxon:640809', 'ncbitaxon:48809']
ncbitaxon:24609	69	8	2	3	['ncbitaxon:448155', 'ncbitaxon:2739822', 'ncbitaxon:33113']
ncbitaxon:165077	82	0	0	3	['ncbitaxon:528005', 'ncbitaxon:528001', 'ncbitaxon:2602534']
ncbitaxon:25103	20	0	0	1	['ncbitaxon:60140']
ncbitaxon:1227754	3	0	0	1	['ncbitaxon:1227752']
ncbitaxon:495139	14	8	0	1	['ncbitaxon:1910961']
ncbitaxon:39523	11	9	0	1	['ncbitaxon:81742']
ncbitaxon:84896	12	6	0	2	['ncbitaxon:1882730', 'ncbitaxon:84897']
ncbitaxon:71353	25	0	0	1	['ncbitaxon:71354']
ncbitaxon:427042	11	10	0	1	['ncbitaxon:679629']
ncbitaxon:2780045	8	0	0	1	['ncbitaxon:1641223']
ncbitaxon:268072	3	0	0	1	['ncbitaxon:268073']
ncbitaxon:4415	37	9	2	2	['ncbitaxon:38861', 'ncbitaxon:77113']
ncbitaxon:183084	68	1	1	1	['ncbitaxon:183085']
ncbitaxon:356274	1	0	1	1	['ncbitaxon:356275']
ncbitaxon:185231	26	19	1	1	['ncbitaxon:219273']
ncbitaxon:3761	59	4	4	9	['ncbitaxon:32251', 'ncbitaxon:321607', 'ncbitaxon:148895', 'ncbitaxon:148897', 'ncbitaxon:714473', 'ncbitaxon:57919', 'ncbitaxon:148894', 'ncbitaxon:148883', 'ncbitaxon:148910']
ncbitaxon:1317838	15	0	0	3	['ncbitaxon:43495', 'ncbitaxon:1317839', 'ncbitaxon:170033']
ncbitaxon:325475	30	9	0	4	['ncbitaxon:1524348', 'ncbitaxon:1524381', 'ncbitaxon:1524352', 'ncbitaxon:325476']
ncbitaxon:66011	1	0	1	1	['ncbitaxon:110876']
ncbitaxon:2746503	49	4	3	3	['ncbitaxon:630762', 'ncbitaxon:670328', 'ncbitaxon:648866']
ncbitaxon:359570	15	0	1	1	['ncbitaxon:359571']
ncbitaxon:50188	198	39	2	5	['ncbitaxon:147277', 'ncbitaxon:50189', 'ncbitaxon:147460', 'ncbitaxon:58047', 'ncbitaxon:120259']
ncbitaxon:67405	3	2	0	1	['ncbitaxon:67459']
ncbitaxon:26254	19	12	0	2	['ncbitaxon:167296', 'ncbitaxon:121487']
