fam_name	# chemicals	# level specific chemicals	# med plants
Fossombroniaceae	0.9333	0.0667	0.0
Lanariaceae	0.9286	0.0714	0.0
Geraniaceae	0.9086	0.062	0.0294
Cabombaceae	0.5	0.0	0.5
Alstroemeriaceae	0.973	0.0	0.027
Lepidobotryaceae	1.0	0.0	0.0
Martyniaceae	0.5682	0.3864	0.0455
Trichocoleaceae	0.6721	0.3279	0.0
Costaceae	0.7419	0.2043	0.0538
Irvingiaceae	0.7778	0.1111	0.1111
Biebersteiniaceae	1.0	0.0	0.0
Ximeniaceae	0.5714	0.381	0.0476
Fabaceae	0.6779	0.3003	0.0218
Trebouxiaceae	0.6	0.4	0.0
Tetraphidaceae	1.0	0.0	0.0
Plantaginaceae	0.805	0.1845	0.0105
Dennstaedtiaceae	0.8722	0.1194	0.0083
Polygalaceae	0.7287	0.2642	0.0071
Grimmiaceae	1.0	0.0	0.0
Brachytheciaceae	0.9811	0.0189	0.0
Balanophoraceae	0.8704	0.1296	0.0
Linaceae	0.8167	0.1722	0.0111
Theaceae	0.6902	0.3052	0.0046
Liliaceae	0.7604	0.222	0.0176
Heliotropiaceae	0.8692	0.1179	0.0128
Thymelaeaceae	0.7769	0.211	0.0121
Caricaceae	0.9191	0.0588	0.0221
Muntingiaceae	0.7761	0.209	0.0149
Sphagnaceae	0.6	0.4	0.0
Boraginaceae	0.8675	0.1148	0.0177
Fritschiellaceae	1.0	0.0	0.0
Nitrariaceae	0.6138	0.3704	0.0159
Paulowniaceae	0.5943	0.3975	0.0082
Prasinococcaceae	1.0	0.0	0.0
Gleicheniaceae	0.7947	0.2	0.0053
Balsaminaceae	0.7135	0.2753	0.0112
Polemoniaceae	0.9538	0.0308	0.0154
Nephrolepidaceae	0.7895	0.1579	0.0526
Wiesnerellaceae	1.0	0.0	0.0
Chlorellaceae	0.7757	0.1776	0.0467
Pallaviciniaceae	0.85	0.15	0.0
Dioscoreaceae	0.8075	0.1655	0.0271
Lycopodiaceae	0.6188	0.3768	0.0044
Ehretiaceae	0.8306	0.1532	0.0161
Pelliaceae	0.7231	0.2769	0.0
Lepidolaenaceae	0.8333	0.1667	0.0
Balantiopsidaceae	0.6667	0.3333	0.0
Cactaceae	0.9002	0.0873	0.0125
Siparunaceae	0.8333	0.1333	0.0333
Rubiaceae	0.7801	0.2073	0.0126
Aquifoliaceae	0.7905	0.1976	0.0119
Simaroubaceae	0.7696	0.2143	0.016
Loranthaceae	0.9224	0.0517	0.0259
Sciadopityaceae	0.8871	0.1129	0.0
Hernandiaceae	0.8125	0.1875	0.0
Gyrostemonaceae	0.9811	0.0189	0.0
Anemiaceae	0.9091	0.0909	0.0
Bignoniaceae	0.7785	0.2021	0.0193
Scrophulariaceae	0.8234	0.1617	0.0149
Posidoniaceae	0.9868	0.0	0.0132
Conocephalaceae	0.9024	0.0976	0.0
Aristolochiaceae	0.8129	0.1677	0.0194
Griseliniaceae	0.9722	0.0	0.0278
Halimedaceae	0.8056	0.1833	0.0111
Aytoniaceae	0.75	0.25	0.0
Oocystaceae	0.973	0.027	0.0
Jungermanniaceae	0.5645	0.4355	0.0
Monimiaceae	0.9524	0.0408	0.0068
Datiscaceae	0.8909	0.0909	0.0182
Mamiellaceae	1.0	0.0	0.0
Rosaceae	0.8238	0.1512	0.0249
Pentadiplandraceae	1.0	0.0	0.0
Dicranaceae	0.6875	0.3125	0.0
Herbertaceae	0.9905	0.0095	0.0
Hylocomiaceae	1.0	0.0	0.0
Valoniaceae	0.5	0.5	0.0
Atherospermataceae	0.8511	0.1277	0.0213
Proteaceae	0.7984	0.1938	0.0078
Blepharostomataceae	0.5517	0.4483	0.0
Lentibulariaceae	1.0	0.0	0.0
Platanaceae	0.7027	0.2703	0.027
Apiaceae	0.745	0.2381	0.0168
Dichapetalaceae	0.5472	0.4528	0.0
Welwitschiaceae	0.5714	0.4286	0.0
Resedaceae	0.9558	0.0265	0.0177
Hydrocharitaceae	0.7083	0.1458	0.1458
Didiereaceae	0.8846	0.1154	0.0
Bromeliaceae	0.9192	0.0707	0.0101
Achariaceae	0.7938	0.2	0.0062
Dasycladaceae	0.7273	0.2727	0.0
Sapindaceae	0.7719	0.2062	0.0219
Rhamnaceae	0.7634	0.2167	0.0199
Ochnaceae	0.6	0.392	0.008
Myristicaceae	0.7857	0.2093	0.005
Adelanthaceae	0.713	0.287	0.0
Loganiaceae	0.8188	0.176	0.0052
Poaceae	0.7679	0.2046	0.0276
Anastrophyllaceae	0.7965	0.2035	0.0
Bryaceae	0.9053	0.0737	0.0211
Asteraceae	0.6751	0.3113	0.0136
Fouquieriaceae	0.9839	0.0161	0.0
Piperaceae	0.7518	0.2372	0.011
Bathycoccaceae	1.0	0.0	0.0
Winteraceae	0.7547	0.2264	0.0189
Polypodiaceae	0.8321	0.1536	0.0143
Berberidaceae	0.8068	0.1764	0.0168
Ericaceae	0.8384	0.1454	0.0161
Lygodiaceae	0.831	0.1549	0.0141
Microteaceae	1.0	0.0	0.0
Riellaceae	1.0	0.0	0.0
Melastomataceae	0.8077	0.1692	0.0231
Icacinaceae	0.8791	0.1099	0.011
Calypogeiaceae	0.8495	0.1398	0.0108
Rhabdodendraceae	0.9091	0.0909	0.0
Typhaceae	0.8447	0.1326	0.0227
Iteaceae	0.8	0.2	0.0
Cannaceae	0.6809	0.2979	0.0213
Magnoliaceae	0.8444	0.1449	0.0108
Grossulariaceae	0.8634	0.1148	0.0219
Altingiaceae	0.8791	0.0879	0.033
Ulvaceae	0.8643	0.1041	0.0317
Aulacomniaceae	0.9375	0.0625	0.0
Plagiochilaceae	0.7121	0.2879	0.0
Limnanthaceae	0.7576	0.2424	0.0
Clusiaceae	0.7329	0.258	0.0092
Elatinaceae	1.0	0.0	0.0
Trentepohliaceae	0.5	0.5	0.0
Cephaloziellaceae	1.0	0.0	0.0
Nepenthaceae	0.8947	0.0526	0.0526
Bartramiaceae	0.9589	0.0411	0.0
Cephaloziaceae	1.0	0.0	0.0
Neckeraceae	0.6	0.4	0.0
Chloranthaceae	0.7629	0.2268	0.0103
Cibotiaceae	0.902	0.0882	0.0098
Vahliaceae	1.0	0.0	0.0
Cunoniaceae	0.9474	0.0526	0.0
Linderniaceae	0.5758	0.3636	0.0606
Goupiaceae	0.9882	0.0	0.0118
Mniaceae	0.902	0.098	0.0
Polygonaceae	0.8223	0.1491	0.0286
Cytinaceae	1.0	0.0	0.0
Cleomaceae	0.866	0.1082	0.0258
Tectariaceae	1.0	0.0	0.0
Dilleniaceae	0.8765	0.1049	0.0185
Betulaceae	0.8251	0.1539	0.0209
Dipterocarpaceae	0.8437	0.1476	0.0087
Scenedesmaceae	0.8387	0.129	0.0323
Onagraceae	0.9024	0.0662	0.0314
Zingiberaceae	0.7323	0.2534	0.0144
Ricciaceae	0.95	0.05	0.0
Podostemaceae	1.0	0.0	0.0
Crypteroniaceae	0.8333	0.1667	0.0
Pandanaceae	0.8253	0.1667	0.0081
Dichotomosiphonaceae	0.8732	0.1268	0.0
Myrtaceae	0.8484	0.1373	0.0144
Eriocaulaceae	0.7031	0.2969	0.0
Penaeaceae	1.0	0.0	0.0
Entodontaceae	1.0	0.0	0.0
Elaeocarpaceae	0.6842	0.2632	0.0526
Oleandraceae	1.0	0.0	0.0
Gyrothyraceae	0.9667	0.0333	0.0
Namaceae	0.925	0.05	0.025
Cordiaceae	0.7615	0.2308	0.0077
Thuidiaceae	1.0	0.0	0.0
Centroplacaceae	1.0	0.0	0.0
